question,label,code
Could you please calculate the total number of Active Zone Minutes (AZMs) I have accumulated from sports activities where I have earned more than 35 AZMs per activity?,0.0,"exercise_entries.query('activityName == ""Sport"" and activeZoneMinutes > 35')['activeZoneMinutes'].sum()"
"Over the past 13 days, what was the total distance I covered during aerobic workouts?",0.0,"exercise_entries.query('activityName == ""Aerobic Workout""').during('last 13 days')['distance'].sum()"
What is the total distance I have run for runs where the distance was at least 15 units?,0.0,"exercise_entries.query('activityName == ""Run"" and distance >= 15')['distance'].sum()"
What was my total average heart rate when swimming on days when I burned at least 39 calories?,0.0,"exercise_entries.query('activityName == ""Swim""').on_days(exercise_entries.where('calories >= 39'))['averageHeartRate'].sum()"
What is the total number of steps I took on days when I slept for 220 minutes or less and ran?,0.0,"exercise_entries.query('activityName == ""Run""').on_days(daily_metrics.where('sleep_minutes <= 220'))['steps'].sum()"
What is my total speed while weightlifting on days when I take more than 25 steps?,0.0,"exercise_entries.query('activityName == ""Weights""').on_days(daily_metrics.where('steps > 25'))['speed'].sum()"
How many days did I use the treadmill with an active zone time of more than 57 minutes?,0,"exercise_entries.query('activityName == ""Treadmill"" and activeZoneMinutes > 57')['datetime'].drop_duplicates().count()"
What is the total elevation gain for my runs with an elevation gain of 94 or less?,0.0,"exercise_entries.query('activityName == ""Run"" and elevationGain <= 94')['elevationGain'].sum()"
How many times have I hiked in the last 21 days?,0,"exercise_entries.query('activityName == ""Hike""').during('last 21 days').shape[0]"
What was my total active zone minutes for my last two interval workouts yesterday?,0.0,"exercise_entries.query('activityName == ""Interval Workout""').during('yesterday')['activeZoneMinutes'][-2:].sum()"
How many times have I used the treadmill in the last 7 days?,0,"exercise_entries.query('activityName == ""Treadmill""').during('last 7 days').shape[0]"
What is the total number of calories I have burned during weightlifting sessions where I have burned at least 16 calories?,0.0,"exercise_entries.query('activityName == ""Weights"" and calories >= 16')['calories'].sum()"
"On days when I took fewer than 62 steps, what was my total elevation gain during sports activities?",0.0,"exercise_entries.query('activityName == ""Sport""').on_days(exercise_entries.where('steps < 62'))['elevationGain'].sum()"
What is the total duration of my first 4 bike rides?,0.0,"exercise_entries.query('activityName == ""Bike""')['duration'][:4].sum()"
How many times did I do yoga yesterday?,0,"exercise_entries.query('activityName == ""Yoga""').during('yesterday').shape[0]"
What is the total distance I covered in my aerobic workouts over the past 19 days?,0.0,"exercise_entries.query('activityName == ""Aerobic Workout""').during('last 19 days')['distance'].sum()"
What is the total number of steps I took while running over the past 4 days?,0.0,"exercise_entries.query('activityName == ""Run""').during('last 4 days')['steps'].sum()"
Could you please calculate the total calories I burned on the elliptical on days when I slept for 576 minutes or less?,0.0,"exercise_entries.query('activityName == ""Eliptical""').on_days(daily_metrics.where('rem_sleep_minutes <= 576'))['calories'].sum()"
What was the total duration I spent on the treadmill in the last 14 days?,0.0,"exercise_entries.query('activityName == ""Treadmill""').during('last 14 days')['duration'].sum()"
What is the sum of my average heart rates for the last two sport activities within the past 21 days?,0.0,"exercise_entries.query('activityName == ""Sport""').during('last 21 days')['averageHeartRate'][-2:].sum()"
What is the sum of my heart rate values for the last 5 times I did weightlifting?,0.0,"exercise_entries.query('activityName == ""Weights""')['averageHeartRate'][-5:].sum()"
What was the total time I spent biking in the last 30 days?,0.0,"exercise_entries.query('activityName == ""Bike""').during('last 30 days')['duration'].sum()"
What has been my average heart rate during yoga sessions over the past 18 days?,0.0,"exercise_entries.query('activityName == ""Yoga""').during('last 18 days')['averageHeartRate'].sum()"
What is the total amount of time I spent hiking in the last 7 days?,0.0,"exercise_entries.query('activityName == ""Hike""').during('last 7 days')['duration'].sum()"
What are my total calories burned during hikes where my speed was less than or equal to 64?,0.0,"exercise_entries.query('activityName == ""Hike""').on_days(exercise_entries.where('speed <= 64'))['calories'].sum()"
How long did I spend lifting weights in total?,0.0,"exercise_entries.query('activityName == ""Weights""')['duration'].sum()"
How many days did I engage in swimming today?,0,"exercise_entries.query('activityName == ""Swim""').during('today')['datetime'].drop_duplicates().count()"
What is my total speed during yoga sessions where my speed exceeded 83?,0.0,"exercise_entries.query('activityName == ""Yoga"" and speed > 83')['speed'].sum()"
What is the total number of active zone minutes for my runs where I have 78 or fewer active zone minutes?,0.0,"exercise_entries.query('activityName == ""Run"" and activeZoneMinutes <= 78')['activeZoneMinutes'].sum()"
"On days when I slept for more than 6 hours, what was my average distance covered during aerobic workouts?",0.0,"exercise_entries.query('activityName == ""Aerobic Workout""').on_days(daily_metrics.where('sleep_minutes > 6*60'))['distance'].mean()"
What is the total elevation gain I achieved during interval workouts with an elevation gain of less than 40?,0.0,"exercise_entries.query('activityName == ""Interval Workout"" and elevationGain < 40')['elevationGain'].sum()"
How many days did I hike with 57 or fewer steps?,0,"exercise_entries.query('activityName == ""Hike"" and steps <= 57')['datetime'].drop_duplicates().count()"
What is the total number of calories I burned on the elliptical when I burned at least 98 calories per session?,0.0,"exercise_entries.query('activityName == ""Eliptical"" and calories >= 98')['calories'].sum()"
What was my average speed during my last aerobic workout?,0.0,"exercise_entries.on_days(exercise_entries.where('activityName == ""Aerobic Workout""').max())['speed'].mean()"
What was my total speed for my last five aerobic workouts within the past seven days?,0.0,"exercise_entries.query('activityName == ""Aerobic Workout""').during('last 7 days')['speed'][-5:].sum()"
How many days have I run today?,0,"exercise_entries.query('activityName == ""Run""').during('today')['datetime'].drop_duplicates().count()"
"In the past 25 days, how many calories have I burned while participating in sports activities?",0.0,"exercise_entries.query('activityName == ""Sport""').during('last 25 days')['calories'].sum()"
What is the total time I spent on the treadmill today?,0.0,"exercise_entries.query('activityName == ""Treadmill""').during('today')['duration'].sum()"
What is the total of my heart rates during workouts where my heart rate was 36 or higher?,0.0,"exercise_entries.query('activityName == ""Workout"" and averageHeartRate >= 36')['averageHeartRate'].sum()"
How many times have I walked today?,0,"exercise_entries.query('activityName == ""Walk""').during('today').shape[0]"
What is the total number of calories I burned from running in the last 24 days?,0.0,"exercise_entries.query('activityName == ""Run""').during('last 24 days')['calories'].sum()"
How many days did I lift weights in the last 30 days?,0,"exercise_entries.query('activityName == ""Weights""').during('last 30 days')['datetime'].drop_duplicates().count()"
What is the total number of steps I took while biking over the past two days?,0.0,"exercise_entries.query('activityName == ""Bike""').during('last 2 days')['steps'].sum()"
"On days when my swimming speed exceeded 34, what was my total number of active zone minutes for swimming?",0.0,"exercise_entries.query('activityName == ""Swim""').on_days(exercise_entries.where('speed > 34'))['activeZoneMinutes'].sum()"
What was the sum of my average heart rate during my first three yoga sessions in the past 14 days?,0.0,"exercise_entries.query('activityName == ""Yoga""').during('last 14 days')['averageHeartRate'][:3].sum()"
How many days have I swum in the past 30 days?,0,"exercise_entries.query('activityName == ""Swim""').during('last 30 days')['datetime'].drop_duplicates().count()"
"On days when I slept for less than 657 minutes, what was the total number of steps I took while weightlifting?",0.0,"exercise_entries.query('activityName == ""Weights""').on_days(daily_metrics.where('sleep_minutes < 657'))['steps'].sum()"
How many times have I done yoga?,0,"exercise_entries.query('activityName == ""Yoga""').shape[0]"
What is the total number of active zone minutes I spent doing weightlifting on days when I slept less than 6 hours?,0.0,"exercise_entries.query('activityName == ""Weights""').on_days(daily_metrics.where('sleep_minutes <= 6*60'))['activeZoneMinutes'].sum()"
What is my total average heart rate while biking on days when I get less than 21 hours of deep sleep?,0.0,"exercise_entries.query('activityName == ""Bike""').on_days(daily_metrics.where('deep_sleep_minutes < 21*60'))['averageHeartRate'].sum()"
