question,label,code
What is the total number of steps I took on the elliptical on days when I had 18 hours or less of REM sleep?,0.0,"exercise_entries.query('activityName == ""Eliptical""').on_days(daily_metrics.where('rem_sleep_minutes <= 18*60'))['steps'].sum()"
"Over the past 22 days, what is the total duration of my aerobic workouts?",0.0,"exercise_entries.query('activityName == ""Aerobic Workout""').during('last 22 days')['duration'].sum()"
What is the total duration of my first two aerobic workouts?,0.0,"exercise_entries.query('activityName == ""Aerobic Workout""')['duration'][:2].sum()"
What is my total distance covered while biking at a speed of 53 or higher?,0.0,"exercise_entries.query('activityName == ""Bike"" and speed >= 53')['speed'].sum()"
How many interval workouts did I do yesterday?,0,"exercise_entries.query('activityName == ""Interval Workout""').during('yesterday').shape[0]"
What is the total of my heart rate readings while using the elliptical over the past 27 days?,0.0,"exercise_entries.query('activityName == ""Eliptical""').during('last 27 days')['averageHeartRate'].sum()"
What is the total number of Active Zone Minutes I accumulated during aerobic workouts on days when I was awake for less than 96% of the time?,0.0,"exercise_entries.query('activityName == ""Aerobic Workout""').on_days(daily_metrics.where('awake_percent < 96'))['activeZoneMinutes'].sum()"
How many times have I worked out?,0,"exercise_entries.query('activityName == ""Workout""').shape[0]"
What was the total duration of sports I participated in during the last 7 days?,0.0,"exercise_entries.query('activityName == ""Sport""').during('last 7 days')['duration'].sum()"
"On days when I slept less than 339 minutes, what was my total speed while using the elliptical?",0.0,"exercise_entries.query('activityName == ""Eliptical""').on_days(daily_metrics.where('sleep_minutes < 339'))['speed'].sum()"
What was the total number of calories I burned during my first two bike rides in the past seven days?,0.0,"exercise_entries.query('activityName == ""Bike""').during('last 7 days')['calories'][:2].sum()"
What is the total of my heart rates during sporting activities where my heart rate exceeded 30?,0.0,"exercise_entries.query('activityName == ""Sport"" and averageHeartRate > 30')['averageHeartRate'].sum()"
What is the total number of calories I burned on the elliptical over the past 4 days?,0.0,"exercise_entries.query('activityName == ""Eliptical""').during('last 4 days')['calories'].sum()"
What is my total active zone minutes (AZM) for interval workouts on days when I have less than 15 hours of REM sleep?,0.0,"exercise_entries.query('activityName == ""Interval Workout""').on_days(daily_metrics.where('rem_sleep_minutes < 15*60'))['activeZoneMinutes'].sum()"
What was the total distance I swam during my first four swims?,0.0,"exercise_entries.query('activityName == ""Swim""')['distance'][:4].sum()"
How many days did I do weightlifting exercises while taking 50 or fewer steps?,0,"exercise_entries.query('activityName == ""Weights"" and steps <= 50')['datetime'].drop_duplicates().count()"
What was the total duration of yoga I did yesterday?,0.0,"exercise_entries.query('activityName == ""Yoga""').during('yesterday')['duration'].sum()"
What is the total number of steps I have taken for workouts where I took 16 or fewer steps?,0.0,"exercise_entries.query('activityName == ""Workout"" and steps <= 16')['steps'].sum()"
What was the total of my average heart rates during my four most recent interval workouts yesterday?,0.0,"exercise_entries.query('activityName == ""Interval Workout""').during('yesterday')['averageHeartRate'][-4:].sum()"
What is the total number of calories I burned during aerobic workouts that lasted less than 95 minutes?,0.0,"exercise_entries.query('activityName == ""Aerobic Workout""').on_days(exercise_entries.where('duration < 95'))['calories'].sum()"
What is the total distance I covered on the elliptical for workouts with a distance of less than 84?,0.0,"exercise_entries.query('activityName == ""Eliptical"" and distance < 84')['distance'].sum()"
What was my total heart rate during hikes on days when I had 34 or fewer active zone minutes?,0.0,"exercise_entries.query('activityName == ""Hike""').on_days(daily_metrics.where('active_zone_minutes <= 34'))['averageHeartRate'].sum()"
How many days did I engage in walks with an elevation gain of 66 or less?,0,"exercise_entries.query('activityName == ""Walk"" and elevationGain <= 66')['datetime'].drop_duplicates().count()"
How long did I practice yoga in the past 21 days?,0.0,"exercise_entries.query('activityName == ""Yoga""').during('last 21 days')['duration'].sum()"
"On days when my REM sleep exceeds 69 minutes, what is the total number of calories I burn while biking?",0.0,"exercise_entries.query('activityName == ""Bike""').on_days(daily_metrics.where('rem_sleep_minutes > 69'))['calories'].sum()"
"On days when I slept for at least 75 minutes, what is my total elevation gain during interval workouts?",0.0,"exercise_entries.query('activityName == ""Interval Workout""').on_days(daily_metrics.where('sleep_minutes >= 75'))['elevationGain'].sum()"
How many days did I do interval workouts with a calorie burn of less than 30?,0,"exercise_entries.query('activityName == ""Interval Workout"" and calories < 30')['datetime'].drop_duplicates().count()"
"On days when I get less than 9 hours of sleep, what is the total distance I run on the treadmill?",0.0,"exercise_entries.query('activityName == ""Treadmill""').on_days(daily_metrics.where('sleep_minutes < 9*60'))['distance'].sum()"
What was my total distance covered during my first five workouts within the last 14 days?,0.0,"exercise_entries.query('activityName == ""Workout""').during('last 14 days')['distance'][:5].sum()"
What is the total number of steps I took on days when I had less than 11 hours of deep sleep?,0.0,"exercise_entries.query('activityName == ""Walk""').on_days(daily_metrics.where('deep_sleep_minutes < 11*60'))['steps'].sum()"
"On days when I slept less than 9 hours, how many calories did I burn during yoga?",0.0,"exercise_entries.query('activityName == ""Yoga""').on_days(daily_metrics.where('sleep_minutes < 9*60'))['calories'].sum()"
"Over the past 7 days, how many days did I sleep for exactly 317 minutes?",0,daily_metrics.query('sleep_minutes == 317').during('last 7 days')['datetime'].drop_duplicates().count()
What is the total duration of my treadmill workouts?,0.0,"exercise_entries.query('activityName == ""Treadmill""')['duration'].sum()"
"On days when I slept for more than 517 minutes, what was my total workout duration?",0.0,"exercise_entries.query('activityName == ""Workout""').on_days(daily_metrics.where('sleep_minutes > 517'))['duration'].sum()"
How long did I spend doing aerobic workouts in total?,0.0,"exercise_entries.query('activityName == ""Aerobic Workout""')['duration'].sum()"
