question,label,code
What is the total distance I walked in the last 21 days?,0.0,"exercise_entries.query('activityName == ""Walk""').during('last 21 days')['distance'].sum()"
What was my total average heart rate while using the treadmill in the past 6 days?,0.0,"exercise_entries.query('activityName == ""Treadmill""').during('last 6 days')['averageHeartRate'].sum()"
What is my total elevation gain for swimming on days when my REM sleep percentage is greater than 30%?,0.0,"exercise_entries.query('activityName == ""Swim""').on_days(daily_metrics.where('rem_sleep_percent > 30'))['elevationGain'].sum()"
What is the total duration of my first four interval workouts in the past seven days?,0.0,"exercise_entries.query('activityName == ""Interval Workout""').during('last 7 days')['duration'][:4].sum()"
How many days yesterday did I sleep for exactly 15 hours?,0,daily_metrics.query('sleep_minutes == 15*60').during('yesterday')['datetime'].drop_duplicates().count()
What is the total duration of my first two interval workouts today?,0.0,"exercise_entries.query('activityName == ""Interval Workout""').during('today')['duration'][:2].sum()"
How many days in the past week did I sleep for 130 minutes or less?,0,daily_metrics.query('sleep_minutes <= 130').during('last week')['datetime'].drop_duplicates().count()
What is the total elevation gain for my hikes with an elevation gain of 64 or less?,0.0,"exercise_entries.query('activityName == ""Hike"" and elevationGain <= 64')['elevationGain'].sum()"
What was the total elevation gain for my last four workouts yesterday?,0.0,"exercise_entries.query('activityName == ""Workout""').during('yesterday')['elevationGain'][-4:].sum()"
"On days when I have slept for 571 minutes or more, what is the total time I have spent on the elliptical?",0.0,"exercise_entries.query('activityName == ""Eliptical""').on_days(daily_metrics.where('sleep_minutes >= 571'))['duration'].sum()"
"On days when I have taken more than 45 steps, how many calories have I burned using the elliptical machine?",0.0,"exercise_entries.query('activityName == ""Eliptical""').on_days(exercise_entries.where('steps > 45'))['calories'].sum()"
How many days did I lift weights yesterday?,0,"exercise_entries.query('activityName == ""Weights""').during('yesterday')['datetime'].drop_duplicates().count()"
What is my total active zone minutes for hikes on days when the elevation gain exceeded 28 units?,0.0,"exercise_entries.query('activityName == ""Hike""').on_days(exercise_entries.where('elevationGain > 28'))['activeZoneMinutes'].sum()"
