question,label,code
What is the total of my speeds during interval workouts when my speed exceeded 36?,0.0,"exercise_entries.query('activityName == ""Interval Workout"" and speed > 36')['speed'].sum()"
How many times have I lifted weights?,0,"exercise_entries.query('activityName == ""Weights""').shape[0]"
What were my lowest active zone minutes over the past 14 days?,0.0,daily_metrics.during('last 14 days')['active_zone_minutes'].min()
How long have I hiked in the past 30 days?,0.0,"exercise_entries.query('activityName == ""Hike""').during('last 30 days')['duration'].sum()"
"On days when I have less than or equal to 11 hours of deep sleep, what is my total elevation gain on the treadmill?",0.0,"exercise_entries.query('activityName == ""Treadmill""').on_days(daily_metrics.where('deep_sleep_minutes <= 11*60'))['elevationGain'].sum()"
How many times did I engage in sports activities today?,0,"exercise_entries.query('activityName == ""Sport""').during('today').shape[0]"
On how many days did I bike with 92 or fewer steps?,0,"exercise_entries.query('activityName == ""Bike"" and steps <= 92')['datetime'].drop_duplicates().count()"
"On days when my light sleep percentage exceeds 70%, what is the total amount of time I spend weightlifting?",0.0,"exercise_entries.query('activityName == ""Weights""').on_days(daily_metrics.where('light_sleep_percent > 70'))['duration'].sum()"
What is the total speed I achieved during yoga sessions on days when I slept for 214 minutes or less?,0.0,"exercise_entries.query('activityName == ""Yoga""').on_days(daily_metrics.where('sleep_minutes <= 214'))['speed'].sum()"
What is my total elevation gain for weightlifting exercises where the elevation gain is less than 49?,0.0,"exercise_entries.query('activityName == ""Weights"" and elevationGain < 49')['elevationGain'].sum()"
"On days when I slept for more than 331 minutes, what was the total duration of my hikes?",0.0,"exercise_entries.query('activityName == ""Hike""').on_days(daily_metrics.where('sleep_minutes > 331'))['duration'].sum()"
What was my total speed for the last three weightlifting sessions in the past 14 days?,0.0,"exercise_entries.query('activityName == ""Weights""').during('last 14 days')['speed'][-3:].sum()"
What is the total number of active zone minutes I accumulated during my first three sport activities in the past 21 days?,0.0,"exercise_entries.query('activityName == ""Sport""').during('last 21 days')['activeZoneMinutes'][:3].sum()"
What was the total distance I walked during my first five walks today?,0.0,"exercise_entries.query('activityName == ""Walk""').during('today')['distance'][:5].sum()"
"On days when my heart rate variability exceeds 51, what is the total number of calories I burn during yoga?",0.0,"exercise_entries.query('activityName == ""Yoga""').on_days(daily_metrics.where('heart_rate_variability > 51'))['calories'].sum()"
What is the total speed I achieved on the elliptical on days when I slept for over 10 hours?,0.0,"exercise_entries.query('activityName == ""Eliptical""').on_days(daily_metrics.where('sleep_minutes > 10*60'))['speed'].sum()"
What is the total duration of sports I engaged in during the past 30 days?,0.0,"exercise_entries.query('activityName == ""Sport""').during('last 30 days')['duration'].sum()"
What was the total speed of my last 5 treadmill workouts within the past 7 days?,0.0,"exercise_entries.query('activityName == ""Treadmill""').during('last 7 days')['speed'][-5:].sum()"
"On days when I slept less than or equal to 567 minutes, what was the total distance I swam?",0.0,"exercise_entries.query('activityName == ""Swim""').on_days(daily_metrics.where('sleep_minutes <= 567'))['distance'].sum()"
What was the total duration of my swim yesterday?,0.0,"exercise_entries.query('activityName == ""Swim""').during('yesterday')['duration'].sum()"
What was my total elevation gain on the treadmill during the past 7 days?,0.0,"exercise_entries.query('activityName == ""Treadmill""').during('last 7 days')['elevationGain'][-5:].sum()"
What is my total elevation gain while weightlifting on days when my heart rate variability is less than 32?,0.0,"exercise_entries.query('activityName == ""Weights""').on_days(daily_metrics.where('heart_rate_variability < 32'))['elevationGain'].sum()"
What was the total duration of my sporting activities in the past 7 days?,0.0,"exercise_entries.query('activityName == ""Sport""').during('last 7 days')['duration'].sum()"
"Over the past 30 days, how many days did I sleep for less than 87 minutes?",0,daily_metrics.query('sleep_minutes < 87').during('last 30 days')['datetime'].drop_duplicates().count()
What is my total treadmill speed for workouts where my speed was less than 73?,0.0,"exercise_entries.query('activityName == ""Treadmill"" and speed < 73')['speed'].sum()"
How many times have I hiked?,0,"exercise_entries.query('activityName == ""Hike""').shape[0]"
How many days have I lifted weights within the last 21 days?,0,"exercise_entries.query('activityName == ""Weights""').during('last 21 days')['datetime'].drop_duplicates().count()"
"On days when I took more than 21 steps, what is the total number of steps I took while doing yoga?",0.0,"exercise_entries.query('activityName == ""Yoga""').on_days(daily_metrics.where('steps > 21'))['steps'].sum()"
How many days have I slept for less than 414 minutes today?,0,daily_metrics.query('sleep_minutes < 414').during('today')['datetime'].drop_duplicates().count()
What is the total number of calories I burned during interval workouts on days when my active zone minutes were less than or equal to 83?,0.0,"exercise_entries.query('activityName == ""Interval Workout""').on_days(daily_metrics.where('active_zone_minutes <= 83'))['calories'].sum()"
